Session or Event Title,Session or Event Abbreviation,Session or Event Type,Session or Event Topic,Session or Event Date,Session or Event Start Time,Session or Event End Time,Session or Event Location,Session or Event Details,Session or Event Hosts,Abstract or Placeholder Title,Abstract Final ID,Abstract or Placeholder Start Time,Abstract or Placeholder End Time,Abstract Presenter Name,Abstract Authors,Abstract Status,Institutions All,Abstract Body,Session Abstract Sort Order,"The Program Report was last updated December 16, 2015 at 01:17 AM EST. To view the most recent meeting schedule online, visit https://aas227.abstractcentral.com/planner.jsp"
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Spitzer Meets K2: Spitzer Studies of Candidate Exoplanets Identified by K2,138.15,5:30 PM,6:30 PM,M. W. Werner*,M. W. Werner*,Sessioned,JPL,"Abstract (2,250 Maximum Characters): We are in the midst of a ~450 hr program of Spitzer photometry of candidate transiting planets orbiting M dwarf stars, identified in the K2 fields.  Whereas the Kepler prime mission eschewed M stars, they have become a major focus of the community-driven target selection for K2.  M stars are the most common stars in the galaxy, and planets orbiting M stars can be very attractive candidates for transit and eclipse atmospheric studies, including studies aimed at exploring potentially habitable exoplanets.  We will review and show the results of the observations planned and executed to date, which total 21 transits of 16 planets orbiting 13 stars.  Our results greatly improve on the characterization of the exoplanets and their orbits over what is possible from the K2 data alone.  In addition, the improved ephemerides we generate will facilitate studies of interesting K2 targets from JWST. <br />__________________________________________<br />This work is based in part on observations made with the Spitzer Space Telescope, which is operated by the Jet Propulsion Laboratory, California Institute of Technology under a contract with NASA. Support for this work was provided by NASA through an award issued by JPL/Caltech.<br />\n",15,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The HERMES K2 Follow-up Program at the Anglo-Australian Telescope,138.16,5:30 PM,6:30 PM,R. A. Wittenmyer*,R. A. Wittenmyer*; S. L. Martell; J. Esdaile; S. Sharma; D. Stello,Sessioned,UNSW Australia; University of Sydney,"Abstract (2,250 Maximum Characters): One of the lessons learned from the Kepler prime mission is that our understanding of the detailed properties of transiting planets is fundamentally limited by our knowledge of the host star's properties. There is a critical need for self-consistent, spectroscopically-determined stellar parameters for the entire K2 sample. The innovative HERMES spectrograph on the Anglo-Australian Telescope offers a way forward, with the ability to obtain 400 spectra in a single pointing. HERMES operates at R=28,000 in four bandpasses specifically chosen to maximise the information on physical parameters such as chemical compositions, temperatures, and gravities. We describe an ongoing program to obtain spectra for as many K2 targets as possible down to V~14.75. The result will be a uniform catalog of stellar properties which will be invaluable for characterising the K2 exoplanet sample, and for informing studies of the population statistics (including non-planet hosts). Synergy with the K2 asteroseismology program will help to calibrate the evolutionary models used to determine stellar radii and masses, improving the accuracy and precision of the radii and masses of K2's planets, ultimately improving our understanding of the transition between Earth-like and Neptune-like worlds.\n",16,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Habitability Test of the Exoplanetary System K2-3,138.17,5:30 PM,6:30 PM,R. Diaz-Perez*,R. Diaz-Perez*; D. M. Kipping; J. A. Johnson,Sessioned,University of Massachusetts Boston; Harvard–Smithsonian Center for Astrophysics; Columbia University; Harvard University,"Abstract (2,250 Maximum Characters): The question of habitability is one of the most interesting questions in exoplanetary science. By studying the orbital properties of a planet, like it's eccentricity and habitable zone inner edge distance we can answer this question. Here we answer the habitability question for the planets in the exoplanetary system K2-3 discovered by the Kepler 2 spacecraft. The system is compose of three planets with radii 1.61-2.17 R<sub>earth,</sub> and with orbital periods of 10-45 days. The most outer planet in this system known as K2-3d is particularly interesting due to its proximity towards the habitable zone. The eccentricities of the planets in K2-3 were calculated using a method known as stellar density profiling, and from these eccentricities the range of the semi-major axis were determined. The planet K2-3d was calculated to have a semi-major axis of 0.18 AU, which puts it outside the habitable zone where inner edge of the habitable zone is 0.27 AU from its host star. This project was supported by the The Harvard Banneker Institute.\n",17,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Home Sweet Home?: Determining Habitability From the Eccentricities of Kepler-186,138.18,5:30 PM,6:30 PM,M. McTier*,M. McTier*; D. M. Kipping,Sessioned,Harvard College; Harvard-Smithsonian Center for Astrophysics; Columbia University,"Abstract (2,250 Maximum Characters): In the search for habitable exoplanets, astronomers' primary criterion has historically been that the planet's equilibrium temperature be suitable for liquid water. Equilibrium temperature is often determined assuming a circular orbit and, therefore, a constant star-planet separation, especially for low-mass transiting exoplanets. Using photometric data from the first Kepler mission, we analyze the transit light curves of Kepler 186, an exoplanetary system located approximately 150pc from Earth. In this poster, we report new lower limits on the eccentricities of the system found using the astrodensity profiling method and discuss how those values effect habitabilty. We also report other orbital, stellar, and planetary properties, which are consistent with, though slightly more precise than, the values reported in Quintana et al, 2014. We assert that, with an eccentricity of 0.092, a semimajor axis of 0.35 AU, and a radius of 1.06 Earth radii, Kepler 186f is an Earth-sized exoplanet that spends its entire orbit in the habitable zone of its star.\n",18,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Investigating the Orbital Period Valley of Giant Planets in Kepler Data,138.19,5:30 PM,6:30 PM,B. P. Thomas*,B. P. Thomas*; J. L. Birkby,Sessioned,Howard University; Harvard Smithsonian Center for Astrophysics; NASA Sagan Fellow,"Abstract (2,250 Maximum Characters): Transit light curves contain a wealth of information about the basic properties of a planet, such as its radius, semi-major axis, and orbital period. For the latter property, there is a distinct lack of planets with periods between 10 to 100 days. This gap could be caused by something as simple as observational bias, or as prominent as planetary formation or migration. Here, we report an investigation into the atmosphere of planets within this orbital period valley, to search for differences that may indicate a different formation mechanism or migration path to those outside of it. We do this by searching for the secondary eclipse of planets in the valley in order to measure their albedos. We determined an optimal target for this: KOI-366 b (P ~ 75 days). However, we find that despite the exquisite precision of Kepler data, it cannot constrain the albedo for this long-orbit planet candidate. We measure a 1σ upper limit on the geometric albedo of Ag,1σ ≤ 2.0. We highlight that additional scatter in the light curve is likely caused by a ~ 2-day pulsation of the giant host star, and that further data is required to measure the secondary eclipse. KOI-366 is one of the best suited of all host stars with long period exoplanet candidates for follow-up due to its relatively bright magnitude (Kp = 11.7 mag), but the full investigation of the reflective properties of long period planets may require space-based observations from future instruments, such as WFIRST, that will be more sensitive to objects further away from their host stars. This work was supported in part by the NSF REU and DoD ASSURE programs under NSF grant no. 1262851 and by the Smithsonian Institution. This work was performed in part under contract with the Jet Propulsion Laboratory (JPL) funded by NASA through the Sagan Fellowship Program executed by the NASA Exoplanet Science Institute.\n",19,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Are there exoplanets near their Roche limits?,138.20,5:30 PM,6:30 PM,T. Sanders*,T. Sanders*; S. Chatterjee; F. A. Rasio; F. Valsecchi,Sessioned,Chicago State University; Northwestern University,"Abstract (2,250 Maximum Characters): We survey the Kepler catalog for planets that are potentially at or very near the Roche limit separation ($a_R$) from their host stars. The main challenge is of course that, albeit they have known radii, most candidate planets have unknown masses. We first determine the required mean densities ($\rho_R$) for the candidate planets if they were truly at $a_R$. We then compare these $rho_R$ values with the planetary densities previously measured via a combination of transit, TTV, and radial velocity measurements. We identify several planet candidates for which $\rho_R$ is within the observed range of planetary densities. Detailed study of mass loss via Roche-lobe overflow is potentially interesting for these systems.\n",20,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Introducing an unknown companion in the Kepler-56 system (via radial velocity observations and dynamical analysis),138.21,5:30 PM,6:30 PM,O. J. Otor*,O. J. Otor*; B. T. Montet; J. A. Johnson,Sessioned,Princeton University; Harvard University,"Abstract (2,250 Maximum Characters): While the vast majority of multiple-planet systems have their orbital angular momentum axes aligned with the spin axis of their host star, Kepler-56 is an exception: its two transiting planets are coplanar yet misaligned by 40 degrees with respect to their host star. Additional follow-up observations of Kepler-56 suggest the presence of a massive, non-transiting companion that may help explain this misalignment. We model the transit data along with Keck/HIRES and HARPS radial velocity data to update the orbital parameters of the two transiting planets and infer the physical properties of the third, nontransiting planet. We employ a Markov Chain Monte Carlo sampler to calculate the best-fitting orbital parameters and the uncertainties, calculating posterior distributions on the physical parameters of each planet.<br /><br />We find a maximally likely scenario in which the additional RV signal beyond the two transiting planets come from only one planet with a period of 1000 days and minimum mass of 6 Jupiter masses. Given this minimum mass, the perturber could be a giant planet or brown dwarf, either of which would have implications on the formation of the Kepler-56 system. To further refine the allowed parameters of Kepler-56d, we use REBOUND to test the gravitational stability of simulated Kepler-56 systems to determine which of our RV-allowed systems are dynamically stable over the lifetime of this planetary system.\n",21,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Characterizing Transiting Exoplanet Atmospheres with JWST,138.22,5:30 PM,6:30 PM,M. R. Line*,M. R. Line*; T. P. Greene; C. Montero; J. J. Fortney,Sessioned,Hubble Postdoctoral Fellow; NASA Ames Research Center; University of California Santa Cruz,"Abstract (2,250 Maximum Characters): The James Webb Space Telescope (JWST) will advance our ability to determine the fundamental properties of the atmospheres of transiting planets. Its high signal-to-noise, moderate spectral resolution, and broad wavelength range spectra will provide an unprecedented look into the atmospheres of large to small and hot to temperate planets. In this contribution we explore the degree to which JWST spectra will be able to realistically constrain bulk atmospheric properties including molecular volume mixing ratios and thermal structures. We start by modeling the atmospheres of archetypal hot Jupiter, warm Neptune, warm sub-Neptune, and cool super-Earth planets with clear, cloudy, or high mean molecular weight variations. Next we simulate the λ = 1 − 11 μm transmission and emission spectra of these systems for several JWST instrument modes with realistic signal and noise components. We then perform atmospheric retrievals to determine how well temperatures and molecular mixing ratios (CH4, CO, CO2, H2O, NH3) can be constrained. Using these results, we assess what instrument modes will be most useful for determining these values, and then we infer the metallicities and carbon-to-oxygen ratios for the chosen planet archetypes. We also examine how well the expected constraints on the molecular abundances and temperatures enable the exploration of disequilibrium chemistry and planet formation. We will not know the exact noise properties of JWST data until after its launch, but we expect that these results will provide realistic predictions of the scientific value of single event (transit or secondary eclipse) spectra.\n",22,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Effect of Atmospheric Hydrogen on the Albedo and Surface Temperature of Mars,138.23,5:30 PM,6:30 PM,N. L. Wallack*,N. L. Wallack*; L. Kaltenegger; R. Ramirez,Sessioned,"University at Albany (SUNY); Carl Sagan Institute: The Pale Blue Dot and Beyond, Cornell University","Abstract (2,250 Maximum Characters): The presence of hydrogen in planetary atmospheres has been shown to have the potential to dramatically effect the temperatures of planets. The collision-induced absorption (CIA) of hydrogen with carbon dioxide or nitrogen has been shown to have a substantial effect on the atmospheric temperature and albedo of a planet, possibly to the point at which life could exist on a planet where without such CIA the planet would be too cold. Using a single-column radiative-convective climate model, we investigated the effect of the presence of hydrogen on planetary temperatures and albedos across different amounts of hydrogen and across host stars of different temperatures using present-day Mars-like planets. We found that the addition of hydrogen in a planet's atmosphere increased the surface temperature of the planet. This effect was stronger for the planets orbiting hotter stars. The water vapor profiles showed that this was the case due to the presence of more water vapor in the atmospheres of planets orbiting hotter stars across all percentages of hydrogen. The water vapor concentrations also varied more with the addition of more hydrogen for the planets orbiting hotter stars.\n",23,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Measuring Doppler Beaming with Kepler and TESS,138.24,5:30 PM,6:30 PM,L. Mayorga*,L. Mayorga*; J. Jackiewicz,Sessioned,New Mexico State University,"Abstract (2,250 Maximum Characters): The Kepler mission offered unparalleled insight into stellar systems. Due to Kepler’s high precision photometry, we can study the reflected light from a planet, the ellipsoidal variations of a star, and the small Doppler beaming signal due to the gravitational interaction between a planet and host star. To predict how the beaming signal varies as a function of stellar system parameters, we numerically simulate the beaming signals both Kepler and the upcoming Transiting Exoplanet Survey Satellite (TESS) would detect. We predict what mass planets TESS will be capable of detecting given the solar neighborhood population of stars and known population of exoplanets. Doppler beaming is largest for massive, short-period planets around cool stars and is more easily detectable by Kepler than TESS. Kepler’s advantage is its bluer bandpass, longer time baseline, and higher precision.\n",24,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Determining the Atmospheric Nature of Super-Earth and Sub-Neptune Exoplanets,138.25,5:30 PM,6:30 PM,J. Lothringer*,J. Lothringer*; I. Crossfield; B. Benneke; H. Knutson; D. Dragomir; J. J. Fortney; A. Howard; P. R. McCullough; R. L. Gilliland; E. Kempton; C. Morley,Sessioned,"University of Arizona; California Institiute of Technology; Las Cumbres Observatory Global Telescope Network; University of California - Santa Cruz; Institute for Astronomy, University of Hawaii; Space Telescope Science Institute; Penn State University; Grinnell College","Abstract (2,250 Maximum Characters): Proper characterization of the atmospheric composition of super-Earth and sub-Neptune planets will constrain the models that describe the formation and evolution of exoplanetary systems, yet the transition between Earth-mass and Neptune-mass exoplanets is still not well understood. Due to degeneracies between the bulk density and composition of planets in this range, even the basic make-up of many planets is unknown. Transit spectroscopy offers a method to characterize exoplanetary atmospheres and break this compositional degeneracy. We will present preliminary analysis and data reduction techniques for an ongoing large-scale Hubble Space Telescope survey of five planets between 1 and 22 Earth-masses. Using both optical and infrared primary transit spectra from STIS and WFC3, we will measure molecular signatures in the atmospheres of these small, cool planets, as well as any high-altitude clouds and hazes that may dampen such signatures. Results from this investigation will pave the way for future observations of small planets, especially in preparation for the James Webb Space Telescope (JWST) and the Transiting Exoplanet Survey Satellite (TESS).<br />\n",25,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Atmospheric heating in an irradiated transiting super-Earth and super-Neptune,138.26,5:30 PM,6:30 PM,B. P. Miller*,B. P. Miller*; E. Gallo; J. Wright; K. Poppenhaeger,Sessioned,University of Michigan; College of St. Scholastica; Pennsylvania State University; Center for Astrophysics,"Abstract (2,250 Maximum Characters): We present new Chandra observations of HD 97658 (13 ks) and HAT-P-11 (8 ks), obtained to determine the high-energy radiation incident upon their short-period transiting planets. HD 97658 b is a hot super-Earth with a density between Earth and ice giants, while HAT-P-11 b is a hot super-Neptune orbiting an active K4 star. Our measurement of the stellar X-ray (and UV, from Swift) luminosities provides a current epoch estimate of atmospheric heating. We discuss whether these planets are likely to have experienced significant mass loss through atmospheric evaporation over their total lifetimes. These observations provide essential empirical input for understanding and modeling the potential evolutionary transformation of hot gas giants into less massive and more dense remnants.\n",26,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Role of Exotic Molecules In Model Exoplanet Spectra,138.27,5:30 PM,6:30 PM,C. Chang*,C. Chang*; N. Iyer; C. Morley; J. J. Fortney,Sessioned,Ardenwood; Homestead High School; University of California Santa Cruz,"Abstract (2,250 Maximum Characters): We present the absorption signatures of 21 elemental and molecular species normally found in observed planetary spectra. Fifty model exoplanet spectra that span temperatures from 400 to 2000 K, gravities from 100 to 1000 m/s<sup>2</sup>, and are 0.3-3 times solar metallicity composition are obtained by converting the pressure-temperature profiles through publicly available radiative transfer code (DISORT), assuming chemical equilibrium conditions. We explore the dependency of an individual specie's effect on a spectrum in the near-IR by removing its equilibrium abundance or enriching the specie's abundance. While testing for the individual effect of each species, it is found that the temperature is a key property for identifying absorption features in this diverse set of model spectra. Strong and abundant absorbers such as CO and CH<sub>4</sub> are not as prevalent in high temperature models over 1200 K as H<sub>2</sub>O at 0.9-2.2 and 2.3-4.1 microns. In addition, we investigate the vertical mixing and disequilibrium of CO and CH<sub>4</sub> and find features of these carbon species at 3.3-4.2 and 4.3-5.0 microns across all models. Trace species such as NH<sub>3</sub> and Na exhibit prevalent signatures in cold planets (~400-800 K) at the 1-1.1, 1.3-1.5, and 1.6-1.8 micron ranges. A consistent PH<sub>3</sub> feature is identified for 400 K spectra at 4-4.8 microns. In our hot model spectra with temperatures greater than 1400 K, TiO shows more significant absorption features than VO, suggesting that these molecules potentially play separate roles in determining thermal inversions. Hydrocarbons such as C<sub>2</sub>H<sub>2</sub> with abundances higher than 10<sup>-4</sup> exhibit prevalent absorption features at ~4.2-4.5 microns, indicating that photochemical reactions may be needed to further enrich these abundances. A table of these signatures at their respective temperatures, gravities, and metallicities is presented here. This research presented here was conducted by high-school students under the auspices of the University of California Santa Cruz's Science Internship Program.\n",27,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Understanding dynamical instability in 4-planet systems with equal orbital spacing (Δ),138.28,5:30 PM,6:30 PM,D. R. Rice*,D. R. Rice*; J. H. Steffen; F. A. Rasio,Sessioned,"Northwestern University; University of Nevada, Las Vegas","Abstract (2,250 Maximum Characters): The orbital spacing, Δ, between two planets in units of their mutual Hill radii gives insight into their dynamical stability. A well-defined power law relationship derived through numerical simulations gives the average time to instability for systems with equally spaced planets of a certain Δ. Previous work has established the change in the relationship between Δ and instability time for various planet masses and planet multiplicity, however, less work has been done to understand the distribution of instability times for an ensemble of systems with fixed initial Δ. We use Mercury6 to simulate thousands of planetary systems that all have equally spaced planets. We find that the distribution of instability time, measured in time from initial condition until a close-encounter of less than one Hill radius, for four, near-circular and coplanar bodies of a given initial Δ is log-normal and spreads over more than an order of magnitude. New insight into planetary system instability is found when we compare the time until a close-encounter of a pair of planets in a system to the time until a planetary collision in the same system. Collisions are the most common manifestation of instability in these simulations. A large fraction of simulated systems do not have collisions on the same time scale as their close-encounters. This fraction of systems form an approximately log-uniform ‘tail’ to the distribution of instability times that expands many orders of magnitude past the log-normal distribution. The fraction of systems in the tail is dependent on the innermost planet’s semi-major axis, while the distribution of close-encounter times is scale-invariant. With these findings we aim to give insight into tightly-packed exoplanetary systems and post-gas disk formation of planetary systems where these dynamics that depend on orbital spacing are essential.\n",28,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,From Sub-Neptunes to Earth-like Exoplanets: Modeling Optically Thick and Thin Planetary Atmospheres,138.29,5:30 PM,6:30 PM,H. Chen*,H. Chen*; L. Rogers; J. Kasting,Sessioned,"Department of Astronomy, Boston University; Department of Astronomy, California Institute of Technology; Department of Geosciences, The Pennsylvania State University; Center for Exoplanets & Habitable Worlds, The Pennsylvania State University","Abstract (2,250 Maximum Characters): Exoplanet surveys have revealed a wide diversity of planet properties in the Milky Way. Here, we present the results from two projects modeling planet atmospheres; one considering the hydrogen/helium envelopes of sub-Neptune-mass planets, and the other, the climate of Earth-like planets.<br />First, we modify the state-of-the-art stellar evolution code Modules for Experimental Astrophysics (MESA) to model the thermal evolution of gaseous Sub-Neptune sized planets. Including photo-evaporation, we find a resulting convergent evolution trend that could potentially imprint itself on the close-in planet population as a preferred H/He mass fraction of 0.5-3%.<br />We also use an updated version of a radiative-convective climate model to calculate the upper atmospheric conditions of planets warmer than the present Earth. In our simulations, cold, dry stratospheres are predicted at lower surface temperatures. However, onset of moist greenhouse water-loss limit to habitability emerges when the surface temperature reaches above 350 K. This result places constraint on a more accurate calculation of the inner edge of the habitable zone around Sun-like stars.\n",29,
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Proxima Centauri's Influence on Planet Formation in Alpha Centauri,138.30,5:30 PM,6:30 PM,R. Worth*,R. Worth*; S. Sigurdsson,Sessioned,The Pennsylvania State University; Center for Exoplanets and Habitable Worlds,"Abstract (2,250 Maximum Characters): It is likely that the nearby M dwarf Proxima Centauri is in a loosely bound orbit around the Alpha Centauri binary and that the system formed as a more tightly-bound triple but evolved to its current state. We quantify how this evolution would have affected the protoplanetary disks around the stars, and characterize the size and location of planets that may be found there. These three stars are our closest neighbors, and thus present an excellent opportunity for detailed observations of any planets they may harbor, so it is particularly important to understand this system as thoroughly as possible. In addition, it gives us additional insight into planet formation in multistellar systems, which contain a large fraction of potential planet host stars.\n",30,
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,CELESTA: A Catalog of Earth-Like Exoplanet Survey Targets,137.01,5:30 PM,6:30 PM,C. O. Chandler*,C. O. Chandler*; I. McDonald; S. R. Kane,Sessioned,San Francisco State University; Jodrell Bank Centre for Astrophysics,"Abstract (2,250 Maximum Characters): Locating planets in circumstellar Habitable Zones is a priority for many exoplanet surveys. Space-based and ground-based surveys alike require robust toolsets to aid in target selection and mission planning. We present the Catalog of Earth-Like Exoplanet Survey Targets (CELESTA), a database of Habitable Zones around 36,000 nearby stars. We calculated stellar parameters, including effective temperatures, masses, and radii, and we quantified the orbital distances and periods corresponding to the circumstellar Habitable Zones. We gauged the accuracy of our predictions by contrasting CELESTA's computed parameters to observational data. We ascertain a potential return on investment by computing the number of Habitable Zones probed for a given survey duration. A versatile framework for extending the functionality of CELESTA into the future enables ongoing comparisons to new observations, and recalculations when updates to Habitable Zone models, stellar temperatures, or parallax data become available. We expect to upgrade and expand CELESTA using data from the Gaia mission as the data becomes available.\n",1,
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Science Yield Modeling with EXOSIMS,137.02,5:30 PM,6:30 PM,D. Garrett*,D. Garrett*; D. Savransky,Sessioned,Cornell University,"Abstract (2,250 Maximum Characters): Accurately modeling science yield of an exoplanet direct imaging mission to build confidence in the achievement of science goals can be almost as complicated as designing the mission itself. It is challenging to compare science simulation results and systematically test the effects of changing instrument or mission designs. EXOSIMS (Exoplanet Open-Source Imaging Mission Simulator) addresses this by generating ensembles of mission simulations for exoplanet direct imaging missions to estimate distributions of science yield. EXOSIMS consists of stand-alone modules written in Python which may be individually modified without requiring modifications to the code elsewhere. This structure allows for user driven systemic exploration of the effects of changing designs on the estimated science yield.<br />The modules of EXOSIMS are classified as either input or simulation modules. Input modules contain specific mission design parameters and functions. These include Planet Population, Star Catalog, Optical System, Zodiacal Light, Planet Physical Model, Observatory, Time Keeping, and Post-Processing. Simulation modules perform tasks requiring input from one or more input modules as well as calling functions from other simulation modules. These include Completeness, Target List, Simulated Universe, Survey Simulation, and Survey Ensemble. The required parameters and functionality of each of these modules is defined in the documentation for EXOSIMS.<br />EXOSIMS is available to the public at https://github.com/dsavransky/EXOSIMS. Included in the documentation is an interface control document which defines the required inputs and outputs to each input and simulation module. Future development of EXOSIMS is intended to be community-driven. Mission planners and instrument designers may quickly write their own modules, following the guidelines in the interface control document, and drop them directly into the code without making additional modifications elsewhere. It is expected that EXOSIMS will be highly useful for designing and planning future exoplanet direct imaging missions.\n",2,
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Archival Legacy Investigation of Circumstellar Environments (ALICE). Survey results,137.03,5:30 PM,6:30 PM,R. Soummer*,R. Soummer*; E. Choquet; L. Pueyo; J. Hagan; E. Gofas-Salas; A. Rajan; C. Chen; M. D. Perrin; J. H. Debes; D. A. Golimowski; D. C. Hines; M. N'Diaye; G. Schneider; D. Mawet; C. Marois,Sessioned,Space Telescope Science Institute; Arizona State University; University of Arizona; Caltech; NRC Herzberg Institute of Astrophysics,"Abstract (2,250 Maximum Characters): We report on the status of the ALICE project (Archival Legacy Investigation of Circumstellar Environments. HST/AR-12652), which consists in a consistent reanalysis of the entire HST-NICMOS coronagraphic archive with advanced post-processing techniques. Over the last two years, we have developed a sophisticated pipeline able to handle the data of the 400 stars of the archive. We present the results of the overall reduction campaign and discuss the first statistical analysis of the candidate detections. As we will deliver high-level science products to the STScI MAST archive, we are defining a new standard format for high-contrast science products, which will be compatible with every new high-contrast imaging instrument and used by the JWST coronagraphs. We present here an update and overview of the specifications of this standard.<br />\n",3,
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Search for Rocky Planets in Close Orbits around White Dwarfs with COS,137.04,5:30 PM,6:30 PM,P. Sandhaus*,P. Sandhaus*; J. H. Debes; J. Ely; D. C. Hines,Sessioned,STScI; The Ingenuity Project,"Abstract (2,250 Maximum Characters): The search for transiting habitable exoplanets has broadened to include several types of stars that are smaller than the Sun in order to increase the observed transit depth and hence the atmospheric signal of the planet.  Of all current spectral types, white dwarfs are the most favorable for this type of investigation.  The fraction of white dwarfs that possess close-in rocky planets is unknown, but several large angle surveys of stars have the photometric precision and cadence to discover at least one if they are common.  Ultraviolet observations of white dwarfs may allow for detection of molecular oxygen or ozone in the atmosphere of a terrestrial planet.  We use archival Hubble Space Telescope data from the Cosmic Origins Spectrograph to search for transiting rocky planets around UV-bright white dwarfs.  In the process, we discovered unusual variability in the pulsating white dwarf GD~133, which shows slow sinusoidal variations in the UV.  While we detect no planets around our small sample of targets, we do place stringent limits on the possibility of transiting planets, down to sub-lunar radii.\n",4,
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Cloud-Kepler: Towards Efficient Identification and Characterization of Aperiodic and Infrequent Transit Events,137.05,5:30 PM,6:30 PM,G. M. Duvvuri*,G. M. Duvvuri*; P. R. McCullough; S. W. Fleming,Sessioned,Wesleyan University; STScI,"Abstract (2,250 Maximum Characters): The Kepler mission has revolutionized the study of exoplanets by dramatically increasing the available sample size. However, the catalog of planet candidates created by the mission team is constrained to stars that exhibit at least three transit-like events. Cloud-Kepler is an open-source software package designed to search archived Kepler data for planets that may have been missed by looking for either aperiodic or single- and double-transit events. It uses a variant of the Box-Least Squares (BLS) algorithm that we call “BLS-pulse” which identifies the single best-fitting transit-like event in a given segment of a light curve. While testing the program on a random sample of Kepler Objects of Interests (KOIs), we found a single transit-like event (probably a stellar eclipse) of KIC 1717717 centered at MJD = 56271.70. Using a Markov Chain Monte-Carlo (MCMC) analysis, we compared viable star-planet and star-star solutions to constrain physical parameters based on the available observables (e.g., depth, duration, host star colors, coverage of the photometry). We present our analysis on the KIC 1717717 system, along with plans to further adapt this MCMC method to use with missions like K2 and TESS that have even shorter observing baselines, and will therefore expect to find many more such single- and double-transit events.\n",5,
